,Total Electricity [kW],Total Electricity [kW/sf],hour
0,25487.6921619451,0.09430167674219106,0
1,23842.98769972262,0.08821644989829044,1
2,23404.12009780955,0.08659268771279062,2
3,23766.91665627076,0.08793499534746418,3
4,24935.547427298217,0.09225880153988794,4
5,28663.818385428178,0.1060529968113534,5
6,33642.318535160484,0.12447290351761744,6
7,36123.838280539116,0.13365425549610122,7
8,36816.254456040806,0.13621611970641667,8
9,37715.157995441274,0.1395419646066277,9
10,39425.54585381512,0.14587021284108181,10
11,41147.58140388664,0.1522415562624319,11
12,42227.67991822799,0.15623780277631655,12
13,43156.566009895534,0.15967457984464356,13
14,44912.56732247227,0.1661715928768677,14
15,47787.81716479389,0.1768097032032503,15
16,51231.28079213448,0.18955014246294136,16
17,53438.61092235923,0.19771702281763046,17
18,53843.41222275459,0.1992147434088928,18
19,53070.85456720689,0.19635636447700427,19
20,50854.10475872838,0.18815463234177512,20
21,43660.1791384743,0.1615378934060521,21
22,35085.70957081316,0.1298132926745425,22
23,28920.783755141318,0.10700374060858141,23
