,Total Electricity [kW],Total Electricity [kW/sf],hour
0,16448.323266553714,0.07350548896882386,0
1,15535.909140519887,0.06942802493864185,1
2,15090.4669783033,0.06743739991197792,2
3,15114.185123338955,0.06754339332054768,3
4,15856.157505673189,0.0708591746242713,4
5,18283.047432505973,0.08170464062432845,5
6,21215.586340674898,0.09480978835712962,6
7,23083.154462784187,0.10315571552390485,7
8,24143.26194109447,0.10789320257896265,8
9,25424.18219579688,0.11361747417346775,9
10,27408.637579694543,0.1224857558193437,10
11,29999.606661034657,0.1340644709345965,11
12,32329.92578866217,0.14447837417286577,12
13,34099.237091266565,0.15238520396508276,13
14,35979.017442240525,0.16078570604746178,14
15,38247.957741037986,0.17092531501558736,15
16,40236.90345269089,0.17981366337172494,16
17,40898.5116721903,0.18277030733427319,17
18,39766.881395179415,0.17771319388291287,18
19,37804.98531453159,0.1689457269273432,19
20,35266.2255674089,0.15760032876350227,20
21,29605.94750518242,0.13230525765376244,21
22,23162.323357634657,0.10350951136271465,22
23,18621.39296199452,0.0832166642623878,23
