,Total Electricity [kW],Total Electricity [kW/sf],hour
0,9335.145314524398,0.10002405805831413,0
1,8934.553600087871,0.0957318046918736,1
2,8810.91389672939,0.09440703207716133,2
3,8776.33642264608,0.0940365419392266,3
4,9145.217767191307,0.09798902556752251,4
5,10360.857518986024,0.11101434194072608,5
6,12213.487346844484,0.13086486887081702,6
7,13214.122934650186,0.14158646224271326,7
8,13595.64803226916,0.14567442094385627,8
9,14155.352102587809,0.15167152870584502,9
10,15161.530775413172,0.16245251503191047,10
11,16327.94001974065,0.17495033719144798,11
12,17189.04235758308,0.18417686204269929,12
13,17939.123134374935,0.19221381493828216,13
14,18925.78245513462,0.2027856556390256,14
15,20158.469687704644,0.21599363207261027,15
16,21204.63801964637,0.22720309892580406,16
17,21592.1613067465,0.23135532692674843,17
18,21099.10745578789,0.2260723618145259,18
19,20199.47053099981,0.216432947218976,19
20,18881.479537066425,0.2023109594774017,20
21,15917.502769680406,0.17055259104544576,21
22,12630.746801753283,0.13533571346262452,22
23,10426.09799533719,0.11171337949980381,23
