,Total Electricity [kW],Total Electricity [kW/sf],hour
0,83659.9097191405,0.06839178555329514,0
1,79401.95807915708,0.06491091979052199,1
2,78139.03018979388,0.06387847911889596,2
3,78523.36899868147,0.06419267521933993,3
4,82422.20360240004,0.06737996362331344,4
5,93297.41943892288,0.076270427787502,5
6,108303.04859941249,0.0885374954317512,6
7,122517.76584380033,0.1001579943868974,7
8,136168.69948913317,0.11131760153455209,8
9,151880.05654562623,0.1241616001255891,9
10,171112.12802206754,0.13988377473201813,10
11,193647.43062923173,0.15830633326049295,11
12,212259.91537521518,0.1735219971266714,12
13,227665.80426318265,0.18611627618603194,13
14,244848.5393442154,0.20016312295919084,14
15,259305.1695134574,0.21198138517914022,15
16,262107.91996584873,0.21427262728713276,16
17,250087.64660555462,0.20444608120658952,17
18,229386.38701050152,0.18752284866114433,18
19,206529.63896564182,0.16883750921985524,19
20,183985.52546098066,0.15040774780275468,20
21,149737.3428042589,0.12240993652478359,21
22,115544.10915400981,0.09445704593438747,22
23,94032.56884660227,0.07687141075303988,23
