,Total Electricity [kW],Total Electricity [kW/sf],hour
0,9212.871384730539,0.012283828512974052,0
1,9169.492125748504,0.012225989500998003,1
2,9547.562919161677,0.012730083892215568,2
3,11315.960381736528,0.015087947175648701,3
4,13020.142866766468,0.017360190489021956,4
5,14819.125059880238,0.01975883341317365,5
6,18135.182859281438,0.024180243812375248,6
7,19932.19351796407,0.026576258023952096,7
8,20796.714094311377,0.027728952125748503,8
9,21143.768585329344,0.028191691447105788,9
10,21038.074109281435,0.028050765479041916,10
11,21082.2485254491,0.028109664700598804,11
12,21593.04619760479,0.028790728263473054,12
13,22052.038308383235,0.02940271774451098,13
14,21977.626856287425,0.0293035024750499,14
15,20628.902829341318,0.027505203772455092,15
16,17987.68608532934,0.02398358144710579,16
17,15192.030456586826,0.020256040608782434,17
18,12632.702881736528,0.01684360384231537,18
19,11082.741803892215,0.014776989071856287,19
20,10105.323854790418,0.01347376513972056,20
21,9619.23116712521,0.012825641556166946,21
22,9394.249034431137,0.012525665379241517,22
23,9277.3877245509,0.012369850299401196,23
