,Total Electricity [kW],Total Electricity [kW/sf],hour
0,36251.66041167665,0.025273488740166723,0
1,36130.53002994012,0.025189040543749104,1
2,36209.49876497006,0.025244094999543398,2
3,36761.81571107784,0.025629152565457322,3
4,36522.110419161676,0.02546203776499289,4
5,39187.301556886225,0.027320123089768177,5
6,44886.34994760479,0.03129331586761118,6
7,53185.86760479042,0.03707947196848134,7
8,63739.61392964072,0.0444372036110785,8
9,73554.4603742515,0.05127979808226684,9
10,81172.0058008982,0.0565905051335238,10
11,85479.41881736527,0.0595934946003418,11
12,84913.07186377246,0.059198655765593,12
13,79682.4895508982,0.05555206243199874,13
14,71334.16256736527,0.04973187804260759,14
15,63957.82723802396,0.04458933489361147,15
16,57058.96429640719,0.03977967009771307,16
17,50452.096998502995,0.035173575249501,17
18,44885.77439371258,0.0312929146099957,18
19,41137.62354041916,0.028679824690488305,19
20,38913.0574251497,0.02712892892385164,20
21,37745.48827943213,0.02631493736256706,21
22,37012.541541916165,0.025803950530311925,22
23,36548.58244011976,0.02548049320444079,23
