,Total Electricity [kW],Total Electricity [kW/sf],hour
0,12556.922896706588,0.008388758511369745,0
1,12609.814049401197,0.008424092893128149,1
2,12731.82494760479,0.008505603305289213,2
3,12978.40500748503,0.008670333199154926,3
4,13244.095538922154,0.008847830005125448,4
5,14928.668824850298,0.009973223432050305,5
6,18317.089079341316,0.012236886232545348,6
7,21758.811773952097,0.01453615817884065,7
8,25377.142103293412,0.016953414348755518,8
9,28212.67984281437,0.018847719310439662,9
10,30128.823136227547,0.020127815038815895,10
11,31025.37770958084,0.020726765902016428,11
12,30545.888405688624,0.020406439018414112,12
13,28913.424094311376,0.019315857432525348,13
14,26106.699221556886,0.017440801150100632,14
15,23301.4200748503,0.015566710697186004,15
16,20726.88723802395,0.013846772267573413,16
17,18151.574827844313,0.01212631303739077,17
18,16205.60883982036,0.0108262940057255,18
19,14664.478128742514,0.009796728603752828,19
20,13681.906474550899,0.00914031330241396,20
21,13066.781840193486,0.00872937408948208,21
22,12686.490202095807,0.008475317045241458,22
23,12565.564790419163,0.008394531801532634,23
