,Total Electricity [kW],Total Electricity [kW/sf],hour
0,12149.039565868265,0.00441723021983121,0
1,12087.572252994012,0.004394881517245471,1
2,12358.81881736527,0.004493503183153304,2
3,12976.263270958083,0.0047179978260993806,3
4,13563.65868263473,0.004931567034544282,4
5,14588.99880988024,0.005304367153526424,5
6,16124.826886227544,0.0058627739439994705,6
7,18191.857103293412,0.006614318812268659,7
8,20959.59489520958,0.007620631693936129,8
9,23757.498091317364,0.00863791231789024,9
10,26288.135980538922,0.009558018808540262,10
11,28089.620576347304,0.010213014798471956,11
12,29027.007971556886,0.010553836466502526,12
13,29217.90040419162,0.010623242432101665,13
14,28579.731100299403,0.010391212507494214,14
15,27098.89979041916,0.009852801814450453,15
16,24786.66253742515,0.009012102908667054,16
17,22254.94112275449,0.008091602462484023,17
18,19867.265209580837,0.007223475056885275,18
19,17943.779663173653,0.006524121133726729,19
20,16091.99991766467,0.005850838492083687,20
21,14535.816270139901,0.00528503068495747,21
22,13349.980606287425,0.004853876510034968,22
23,12531.360770958085,0.004556237157099699,23
