,Total Electricity [kW],Total Electricity [kW/sf],hour
0,18759.81142215569,0.010476683516736161,0
1,18665.993353293412,0.010424289481769445,1
2,18642.249588323353,0.01041102943850519,2
3,18850.775224550896,0.010527483545997012,3
4,18762.622821856286,0.010478253582886583,4
5,19777.90229790419,0.011045250846997106,5
6,21719.440104790418,0.012129530250493778,6
7,24414.90759730539,0.013634852410362521,7
8,27992.15616766467,0.015632617755065786,8
9,31034.2651497006,0.017331526785173107,9
10,32951.180172155684,0.01840205524448485,10
11,33979.58829341317,0.01897638438724645,11
12,34555.02172904192,0.019297743373985016,12
13,34458.54043413173,0.019243862022551756,13
14,33323.230501497004,0.01860983204272084,14
15,31134.821758982034,0.017387684053881768,15
16,28392.447080838323,0.015856165909019657,16
17,25626.003076347304,0.014311205906511585,17
18,23285.01863772455,0.013003849850038144,18
19,21646.83394461078,0.012088982307636036,19
20,20489.757754491016,0.011442796651722733,20
21,19664.043221417523,0.010981664626271568,21
22,18693.83110778443,0.010439835871712074,22
23,18641.817350299403,0.010410788049032824,23
