,Total Electricity [kW],Total Electricity [kW/sf],hour
0,28354.93383233533,0.002093889920603713,0
1,28311.2789745509,0.00209066619709793,1
2,28396.385,0.0020969509110713167,2
3,28603.844588323354,0.0021122709094705894,3
4,28260.250965568863,0.002086897998085097,4
5,27099.16357035928,0.002001156687308456,5
6,27151.324214071858,0.0020050085265251433,6
7,27893.80101796407,0.0020598372454050675,7
8,30839.24611526946,0.0022773456986925223,8
9,34706.29004491018,0.0025629102623302142,9
10,38834.49551646707,0.002867760482689982,10
11,42479.10366017964,0.003136899120141757,11
12,45314.43080838323,0.003346275836460076,12
13,47042.469865269464,0.0034738840892255037,13
14,46737.30000748503,0.003451348607638232,14
15,44632.66873502994,0.0032959306393213535,15
16,41119.68851047904,0.0030365121576220976,16
17,37733.561025449104,0.0027864612051949787,17
18,34922.6350748503,0.002578886412380254,18
19,33325.32512724551,0.0024609319421231013,19
20,31580.69821107784,0.0023320987472873035,20
21,30109.39690041089,0.0022234494729566627,21
22,29132.19841317365,0.0021512875672031794,22
23,28595.562919161675,0.002111659343819054,23
