,Total Electricity [kW],Total Electricity [kW/sf],hour
0,4014.943315868263,0.0549992235050447,0
1,4499.631826347306,0.061638792141743906,1
2,5018.362672155688,0.06874469413911902,2
3,5739.785943113772,0.07862720470018866,3
4,6465.7944685628745,0.08857252696661472,4
5,7001.41989520958,0.09590986157821343,5
6,7704.517836826347,0.10554134023049791,6
7,8561.23516467066,0.11727719403658436,7
8,9457.752776946108,0.12955825721843983,8
9,10283.085988023951,0.14086419161676647,9
10,11045.039648203594,0.15130191298909032,10
11,11683.388285928144,0.160046414875728,11
12,12015.626092814371,0.1645976177097859,12
13,12095.313862275449,0.16568923099007465,13
14,11987.029550898204,0.1642058842588795,14
15,11760.884281437126,0.1611080038553031,15
16,11421.970366766469,0.1564653474899516,16
17,10820.908106287425,0.1482316178943483,17
18,9868.764041916167,0.13518854851939954,18
19,8523.879648203592,0.11676547463292593,19
20,6667.898360778443,0.09134107343532114,20
21,4759.860836345328,0.06520357310062092,21
22,3398.5336676646707,0.04655525572143385,22
23,3357.9950823353292,0.04599993263473054,23
