,Total Electricity [kW],Total Electricity [kW/sf],hour
0,12361.213989520958,0.008288468017447629,0
1,12215.22622754491,0.00819057998661967,1
2,12174.678914670658,0.00816339211443846,2
3,12263.22881736527,0.008222766787270318,3
4,12545.636549401197,0.008412127432336734,4
5,12625.573652694611,0.00846572703223174,5
6,13444.22135479042,0.009014648465201856,6
7,15224.72766467066,0.010208517418268817,7
8,18032.681953592815,0.01209131301892067,8
9,20876.36351047904,0.01399806454478521,9
10,23138.29957335329,0.015514742820117874,10
11,24604.12368263473,0.016497610381449822,11
12,25495.632028443113,0.017095386491286977,12
13,25978.255755988022,0.017418996399958444,13
14,25735.52991017964,0.017256243339320854,14
15,24330.019273952093,0.016313817298769323,15
16,21917.26348053892,0.014696011050566705,16
17,19315.905621257483,0.012951742936053967,17
18,17096.67884730539,0.011463702185771779,18
19,15683.454708083833,0.01051610407046104,19
20,14528.10135479042,0.009741414033888472,20
21,13701.125492978008,0.00918690838520024,21
22,13082.755726047904,0.008772277747748154,22
23,12640.190187125749,0.008475527742603805,23
