,Total Electricity [kW],Total Electricity [kW/sf],hour
0,10556.59123502994,0.010967886997433705,0
1,10480.803293413173,0.01088914627887083,1
2,10505.380254491018,0.010914680783886773,2
3,10839.516459580838,0.01126183528268139,3
4,11266.882185628743,0.011705851621432459,4
5,12458.99868263473,0.012944414215724396,5
6,13838.121721556887,0.014377269321098063,6
7,15227.965067365269,0.01582126240765223,7
8,16758.671796407187,0.01741160706120227,8
9,17980.336482035927,0.01868086907224512,9
10,18778.165658682636,0.019509782502527412,10
11,19143.622185628745,0.01988947759545843,11
12,19345.361452095807,0.020099076833346295,12
13,19506.201983532934,0.020266183878995255,13
14,19294.040613772457,0.020045756481841513,14
15,18199.151556886227,0.018908209409751926,15
16,16416.976931137724,0.01705659940897426,16
17,14765.529288922156,0.015340809650828215,17
18,13535.421429640719,0.014062775511315032,18
19,12675.725471556885,0.013169584905513648,19
20,12037.857799401198,0.012506865246131114,20
21,11380.27433470896,0.011823661646450868,21
22,10662.100336826346,0.011077506843455945,22
23,10533.515905688622,0.01094391262928688,23
