,Total Electricity [kW],Total Electricity [kW/sf],hour
0,26688.784034431137,0.003971471369123512,0
1,25521.779401197604,0.0037978131956172842,1
2,25146.2803742515,0.0037419364036013463,2
3,25780.94705838323,0.0038363790938982885,3
4,26806.453285928143,0.0039889813486993385,4
5,28535.315853293414,0.004246247778619209,5
6,31659.609131736524,0.004711163725635539,6
7,36171.30569610778,0.0053825346546541595,7
8,41731.84517964072,0.00620998049584505,8
9,47573.755838323355,0.0070792962687931185,9
10,53431.062896706586,0.007950903130032043,10
11,57898.27319610778,0.008615654202281622,11
12,60453.82460329341,0.008995937516533312,12
13,61272.705561377246,0.009117792535314037,13
14,60375.010681137726,0.008984209472463343,14
15,57914.83438622754,0.008618118619255974,15
16,54226.178068862275,0.008069221639309131,16
17,50258.07724550898,0.007478741428992613,17
18,46205.24237275449,0.006875652219676642,18
19,42169.59458832336,0.006275120565216176,19
20,37940.494528443116,0.0056458019052388324,20
21,34304.56787348726,0.0051047514552909744,21
22,31312.424266467067,0.004659500272162656,22
23,28725.806766467067,0.004274594113423048,23
