,Total Electricity [kW],Total Electricity [kW/sf],hour
0,6352.919214071856,0.03302362164559769,0
1,6599.040404191617,0.034303004050378776,1
2,7533.435838323353,0.03916016030317533,2
3,8766.683495508983,0.04557080439510842,3
4,10284.860366766467,0.05346256201048196,4
5,11802.555291916167,0.06135181438293004,5
6,13570.015726047905,0.07053939298790333,6
7,15858.492971556887,0.08243531109321318,7
8,18147.174348802393,0.0943322903121632,8
9,20121.725538922154,0.10459636407496897,9
10,21981.985074850298,0.11426632917401065,10
11,23331.255928143713,0.12128008279736822,11
12,24066.714685628744,0.12510313026967507,12
13,24297.19619011976,0.12630121476345554,13
14,24080.48613772455,0.12517471676529981,14
15,23461.869423652694,0.12195903534062479,15
16,22119.54377245509,0.11498138413232015,16
17,20340.385800898206,0.10573299961480548,17
18,18377.58002245509,0.09552998062354823,18
19,16193.445815868263,0.084176456482746,19
20,13733.847193113772,0.07139101854769993,20
21,11118.125060936685,0.057794022409027604,21
22,8721.047836826347,0.04533358199779777,22
23,7144.660913173652,0.037139238015197674,23
