,Total Electricity [kW],Total Electricity [kW/sf],hour
0,2070.0848353293413,0.0031780231592083534,0
1,2038.0138622754491,0.0031287873533301846,1
2,2022.2732410179642,0.0031046221316721767,2
3,2019.7303892215568,0.0031007183100695557,3
4,1998.6480014970061,0.003068352333904442,4
5,1909.653136227545,0.002931726173444705,5
6,1844.3606511976047,0.0028314882382615312,6
7,1839.1282035928143,0.0028234553115990242,7
8,1956.9397080838323,0.00300432117917303,8
9,2129.9092889221556,0.0032698664961384083,9
10,2296.550089820359,0.0035256957817238295,10
11,2394.624109281437,0.00367626038653838,11
12,2445.7655538922154,0.0037547734467736947,12
13,2488.1273278443114,0.003819807833957876,13
14,2509.342619760479,0.0038523778464946905,14
15,2479.9973128742513,0.0038073265213958954,15
16,2400.314738023952,0.0036849967192845168,16
17,2351.8588248502992,0.003610606524429552,17
18,2338.7624550898204,0.0035905007946111234,18
19,2360.6432485029936,0.0036240924943434947,19
20,2299.84130239521,0.0035307484972484505,20
21,2243.0876310217404,0.003443619468081735,21
22,2177.34750748503,0.003342694312009257,22
23,2114.8219461077842,0.0032467041966728607,23
