,Total Electricity [kW],Total Electricity [kW/sf],hour
0,10420.929663173652,0.010558186082242809,0
1,10481.380224550898,0.010619432851621985,1
2,10361.433592814372,0.010497906375698451,2
3,10220.300770958083,0.010354914661558343,3
4,9971.865613772454,0.010103207308786681,4
5,9878.44996257485,0.010008561258941085,5
6,9877.428854790418,0.010007526701915318,6
7,10016.075411676647,0.010147999403927707,7
8,10379.411796407185,0.01051612137427273,8
9,10596.410853293413,0.010735978574765362,9
10,10592.513196107784,0.010732029580656317,10
11,10350.007791916167,0.010486330082995104,11
12,10069.84745508982,0.01020247969107378,12
13,9819.546047904192,0.009948881507501714,13
14,9529.8686751497,0.009655388728621784,14
15,9128.169812874252,0.009248398999872596,15
16,8848.774303892214,0.008965323509515923,16
17,8703.13258982036,0.008817763515522147,17
18,8915.734565868263,0.00903316572023127,18
19,9326.146736526945,0.009448983522317067,19
20,9665.729026946108,0.009793038527807607,20
21,10050.515251119383,0.010182892858276983,21
22,10321.577739520959,0.01045752557195639,22
23,10430.656878742515,0.010568041417165669,23
