,Total Electricity [kW],Total Electricity [kW/sf],hour
0,9971.155486526946,0.011560759984379068,0
1,9995.230291916167,0.011588672802221645,1
2,10065.084034431136,0.011669662648615811,2
3,10295.082245508982,0.011936327241169834,3
4,10679.271661676647,0.0123817642454222,4
5,11123.975381736527,0.012897362761433655,5
6,11995.083323353294,0.013907342983598022,6
7,13403.767118263473,0.015540599557406925,7
8,15217.93011976048,0.01764397695044693,8
9,16817.150486526945,0.019498145491625443,9
10,18003.171826347305,0.020873242697214266,10
11,18790.864588323355,0.02178650966762128,11
12,19157.811511976048,0.022211955376204115,12
13,19020.64137724551,0.02205291753883537,13
14,18153.741339820357,0.02104781604616853,14
15,16743.111848802393,0.019412303592814373,15
16,14991.899625748503,0.017381912609563482,16
17,13488.905950598803,0.015639311247071075,17
18,12295.89883233533,0.014256114588214875,18
19,11498.861040419162,0.013332012800485986,19
20,10762.388158682636,0.01247813119847262,20
21,10315.116535644927,0.011959555403646292,21
22,9787.870291916168,0.011348255410917297,22
23,9819.257814371258,0.01138464674130001,23
