group,win_wd_0h,win_wd_1h,win_wd_2h,win_wd_3h,win_wd_4h,win_wd_5h,win_wd_6h,win_wd_7h,win_wd_8h,win_wd_9h,win_wd_10h,win_wd_11h,win_wd_12h,win_wd_13h,win_wd_14h,win_wd_15h,win_wd_16h,win_wd_17h,win_wd_18h,win_wd_19h,win_wd_20h,win_wd_21h,win_wd_22h,win_wd_23h,win_we_0h,win_we_1h,win_we_2h,win_we_3h,win_we_4h,win_we_5h,win_we_6h,win_we_7h,win_we_8h,win_we_9h,win_we_10h,win_we_11h,win_we_12h,win_we_13h,win_we_14h,win_we_15h,win_we_16h,win_we_17h,win_we_18h,win_we_19h,win_we_20h,win_we_21h,win_we_22h,win_we_23h,spr_wd_0h,spr_wd_1h,spr_wd_2h,spr_wd_3h,spr_wd_4h,spr_wd_5h,spr_wd_6h,spr_wd_7h,spr_wd_8h,spr_wd_9h,spr_wd_10h,spr_wd_11h,spr_wd_12h,spr_wd_13h,spr_wd_14h,spr_wd_15h,spr_wd_16h,spr_wd_17h,spr_wd_18h,spr_wd_19h,spr_wd_20h,spr_wd_21h,spr_wd_22h,spr_wd_23h,spr_we_0h,spr_we_1h,spr_we_2h,spr_we_3h,spr_we_4h,spr_we_5h,spr_we_6h,spr_we_7h,spr_we_8h,spr_we_9h,spr_we_10h,spr_we_11h,spr_we_12h,spr_we_13h,spr_we_14h,spr_we_15h,spr_we_16h,spr_we_17h,spr_we_18h,spr_we_19h,spr_we_20h,spr_we_21h,spr_we_22h,spr_we_23h,sum_wd_0h,sum_wd_1h,sum_wd_2h,sum_wd_3h,sum_wd_4h,sum_wd_5h,sum_wd_6h,sum_wd_7h,sum_wd_8h,sum_wd_9h,sum_wd_10h,sum_wd_11h,sum_wd_12h,sum_wd_13h,sum_wd_14h,sum_wd_15h,sum_wd_16h,sum_wd_17h,sum_wd_18h,sum_wd_19h,sum_wd_20h,sum_wd_21h,sum_wd_22h,sum_wd_23h,sum_we_0h,sum_we_1h,sum_we_2h,sum_we_3h,sum_we_4h,sum_we_5h,sum_we_6h,sum_we_7h,sum_we_8h,sum_we_9h,sum_we_10h,sum_we_11h,sum_we_12h,sum_we_13h,sum_we_14h,sum_we_15h,sum_we_16h,sum_we_17h,sum_we_18h,sum_we_19h,sum_we_20h,sum_we_21h,sum_we_22h,sum_we_23h,fal_wd_0h,fal_wd_1h,fal_wd_2h,fal_wd_3h,fal_wd_4h,fal_wd_5h,fal_wd_6h,fal_wd_7h,fal_wd_8h,fal_wd_9h,fal_wd_10h,fal_wd_11h,fal_wd_12h,fal_wd_13h,fal_wd_14h,fal_wd_15h,fal_wd_16h,fal_wd_17h,fal_wd_18h,fal_wd_19h,fal_wd_20h,fal_wd_21h,fal_wd_22h,fal_wd_23h,fal_we_0h,fal_we_1h,fal_we_2h,fal_we_3h,fal_we_4h,fal_we_5h,fal_we_6h,fal_we_7h,fal_we_8h,fal_we_9h,fal_we_10h,fal_we_11h,fal_we_12h,fal_we_13h,fal_we_14h,fal_we_15h,fal_we_16h,fal_we_17h,fal_we_18h,fal_we_19h,fal_we_20h,fal_we_21h,fal_we_22h,fal_we_23h
0,2.46,2.469,2.447,2.669,2.953,3.31,3.725,4.678,6.042,7.028,7.624,7.532,7.512,6.695,5.473,4.413,3.908,3.523,3.281,3.262,3.156,2.977,2.661,2.512,2.465,2.46,2.454,2.624,2.784,2.926,3.149,3.947,5.289,6.358,6.791,7.063,6.868,6.065,4.816,4.059,3.644,3.397,3.182,3.166,3.074,2.97,2.663,2.527,2.243,2.235,2.225,2.271,2.629,2.885,3.342,4.212,5.798,7.293,8.322,8.663,8.56,8.413,7.96,7.147,6.02,4.615,3.478,3.172,3.24,3.104,2.785,2.414,2.359,2.311,2.276,2.319,2.555,2.647,2.899,3.777,5.566,7.009,8.104,8.479,8.583,8.088,7.645,7.185,6.068,4.64,3.534,3.089,3.084,3.013,2.772,2.421,2.287,2.198,2.206,2.258,2.571,2.884,3.348,4.047,5.477,7.092,8.073,8.516,8.643,8.477,8.175,7.487,6.243,4.929,3.805,3.411,3.323,3.18,2.943,2.499,2.216,2.115,2.092,2.148,2.398,2.542,2.771,3.326,4.823,6.482,7.438,7.939,7.935,7.849,7.662,7.033,5.877,4.559,3.609,3.159,3.052,2.966,2.81,2.439,2.103,2.07,2.055,2.344,2.591,2.878,3.181,3.893,4.984,6.097,6.963,7.224,6.761,5.599,4.528,3.83,3.373,3.12,3.144,3.1,2.915,2.769,2.482,2.252,2.16,2.046,2.053,2.252,2.417,2.561,2.672,3.339,4.591,5.479,6.045,6.223,5.704,4.707,3.853,3.421,3.126,2.863,2.895,2.891,2.81,2.665,2.4,2.206
1,62.82,62.85,62.89,63.31,68.11,71.96,69.57,69.54,76.31,90.34,103.4,110.6,111.8,107,97.95,99.24,98.43,91.31,94.58,90.08,84.58,79.29,70.9,64.41,64.05,63.97,63.74,64.18,65.26,64.76,62.6,63.62,73.75,86.72,91.21,99.22,99.94,90.45,82.32,81.57,77.03,74.19,75.62,71.32,68.27,66.28,65.32,64.07,53.25,52.09,51.98,52.07,52.58,54.87,40.97,46.41,94.84,142.4,177.3,186.5,182.4,178.4,168.5,150.3,116.4,70.68,49.51,63.83,66.96,64.6,60.19,55.2,52.77,52.71,52.73,52.29,52.76,51.17,33.02,46.6,109.9,162.9,206.6,214.3,220,201.7,184.3,170,124.3,70.29,36.41,49.6,53.98,53.95,53,53.03,52.95,51.69,53.03,51.63,51.86,56.93,50.65,44.14,69.65,122.9,150.8,167.4,168.5,159.8,151.2,137.8,102.7,69.87,57.6,71.56,76.64,67.8,62.97,55.66,51.07,51.38,50.9,51.32,50.21,50.41,36.93,41.79,90.05,152.3,187,200.9,195.8,195.8,192.8,163.3,116.5,64.65,44.59,57.3,63.55,59.43,55.92,50.74,62.46,62.45,62.56,62.65,65.47,70.02,76.78,75.61,59.09,71.09,94.31,99.33,90.08,75.66,81.53,84.1,83.68,109.2,110.5,102.7,92.68,84.06,76.42,65.59,64.26,61.82,61.8,61.63,62.54,63.15,62.02,60.31,68.15,82.15,96.54,105.3,88.33,76.11,72.48,74.4,62.54,78.42,76.4,72.27,69.86,68.78,67.47,63.7
